Date Range,Average,Minimum,Maximum,Standard Deviation
"('2021-01-06', '2021-01-24')",274.39963,273.4467,274.95062,0.32159156
"('2021-01-24', '2021-02-11')",274.47897,273.25528,274.84467,0.27610436
"('2021-02-11', '2021-03-01')",271.17944,269.70737,272.00085,0.2847633
"('2021-03-01', '2021-03-19')",253.43777,250.76471,257.61783,2.1903458
"('2021-03-19', '2021-04-06')",279.95258,279.688,280.54935,0.18854849
"('2021-04-06', '2021-04-24')",272.84918,272.1923,274.33197,0.4535206
"('2021-04-24', '2021-05-12')",225.869,225.28679,226.1994,0.18165196
"('2021-05-12', '2021-05-30')",292.2816,291.1281,296.6072,0.84396064
"('2021-05-30', '2021-06-17')",291.92523,289.7233,298.16922,1.984249
"('2021-06-17', '2021-07-06')",293.39407,291.528,297.8582,1.7264805
"('2021-07-06', '2021-07-24')",293.29572,292.51926,295.69458,0.6044621
"('2021-07-24', '2021-08-11')",285.02448,280.55276,287.72375,1.3450646
"('2021-08-11', '2021-08-29')",294.62427,292.9841,296.59354,0.754984
"('2021-08-29', '2021-09-16')",293.93628,293.11057,296.95242,0.8486996
"('2021-09-16', '2021-10-04')",290.42953,289.71646,291.20673,0.17501211
"('2021-10-04', '2021-10-22')",289.9709,289.65152,290.8034,0.18697605
"('2021-10-22', '2021-11-09')",283.57062,283.33502,284.77744,0.16250874
"('2021-11-09', '2021-11-27')",283.57062,283.33502,284.77744,0.16250874
"('2021-11-27', '2021-12-15')",247.43866,245.95213,248.8472,0.46232092
"('2021-12-15', '2022-01-03')",271.14304,270.2611,271.55994,0.25715056
"('2022-01-03', '2022-01-21')",270.65536,268.15903,271.45056,0.7203326
"('2022-01-21', '2022-02-08')",259.7047,258.09296,260.82394,0.6657383
"('2022-02-08', '2022-02-26')",273.55606,273.163,275.56927,0.37909007
"('2022-02-26', '2022-03-16')",272.9187,270.9652,273.45694,0.43584782
"('2022-03-16', '2022-04-03')",278.74683,278.52246,279.7119,0.14763226
"('2022-04-03', '2022-04-21')",282.39673,281.84134,283.88873,0.3337144
"('2022-04-21', '2022-05-09')",259.02646,258.27753,259.87372,0.38007572
"('2022-05-09', '2022-05-27')",288.05414,287.36145,290.8376,0.74284476
"('2022-05-27', '2022-06-14')",290.41733,289.59,294.5222,0.735106
"('2022-06-14', '2022-07-03')",291.02533,288.87906,296.67557,1.9957372
"('2022-07-03', '2022-07-21')",295.51947,294.1804,299.3587,1.1308818
"('2022-07-21', '2022-08-08')",294.8692,294.11203,296.42944,0.43348765
"('2022-08-08', '2022-08-26')",284.23206,283.50592,286.37704,0.46604258
"('2022-08-26', '2022-09-13')",293.32422,292.97043,294.3342,0.30816737
"('2022-09-13', '2022-10-01')",290.36478,289.91812,292.5637,0.29320943
"('2022-10-01', '2022-10-19')",287.1691,286.90344,287.3307,0.08347082
"('2022-10-19', '2022-11-06')",285.03717,284.69882,285.71054,0.113708176
"('2022-11-06', '2022-11-24')",280.0838,279.03857,280.33743,0.23333786
"('2022-11-24', '2022-12-12')",278.99896,278.4336,279.20947,0.14008081
